"","Accession_number","ED","Species","Country","City","Host","Collection_date","lat","lon","sum_extracted_values","extracted_temp","extracted_precip","heterogeneity","Geo_location","num_occurrences","DR"
"1","OK573263.1",0.0642579372259333,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.119914054870605,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5622798236421
"2","OK573272.1",0.0642579372259333,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5622798236421
"3","OK573260.1",0.0641816594371009,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5807750807693
"4","OK573278.1",0.0641816594371009,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.26571210256167,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5807750807693
"5","OK573277.1",0.064168785131176,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.26571210256167,76.0847852528941,34072.4898785425,"USA:  MD",22,15.5839010814334
"6","OK573262.1",0.0637647183813064,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.0395965576171875,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6826537525047
"7","OK573269.1",0.0637647183813064,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,0.372863427548223,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6826537525047
"8","OK573261.1",0.0640937590493045,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,1.21871453006518,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6021430921339
"9","OK573279.1",0.0640937590493045,"Orthoflavivirus nilense","USA"," MD","Homo sapiens","2022-07-30T00:00:00Z",39.5162401,-76.9382069,46503,-0.187965393066406,76.0847852528941,34072.4898785425,"USA:  MD",22,15.6021430921339
"10","KJ831223.1",0.109270028425376,"Orthoflavivirus nilense","Austria"," Lake Neusiedl","Uranotaenia unguiculata","2014-08-03T00:00:00Z",47.8007451,16.7368505,143496,0.0402126312255859,125.774804102231,35737.6688741722,"Austria:  Lake Neusiedl",1,9.15164033917068
"11","FJ159131.1",0.0560569987054274,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.227006276448568,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,17.8389857304862
"12","FJ159130.1",0.05439772555935,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.341720581054688,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,18.3831215315972
"13","FJ159129.1",0.05439772555935,"Orthoflavivirus nilense","Russia"," Volgograd","Uranotaenia","2008-09-23T00:00:00Z",48.7081906,44.5153353,55771,0.7962864917792,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,18.3831215315972
"14","MN619802.1",0.0255701010836779,"Orthoflavivirus nilense","Russia"," Volgograd region","Culex pipiens","2020-06-29T00:00:00Z",44.0529285,43.0674087,24863,-0.253408068599937,86.2441698802937,32850.7957746479,"Russia:  Volgograd region",10,39.1081754713253
"15","OP345107.1",0.0255157281502522,"Orthoflavivirus nilense","Russia"," Volgograd","Homo sapiens","2023-04-10T00:00:00Z",48.7081906,44.5153353,55771,0.783612701049538,36.6813777587161,24256.3311688312,"Russia:  Volgograd",25,39.1915133329289
"16","ON813218.1",0.00957161449912438,"Orthoflavivirus nilense","Senegal"," Thille Boubacar region","Culex antennatus","2023-03-20T00:00:00Z",16.518221,-15.089955,6590,0.400800916883681,-110.136595749827,11908.5906735751,"Senegal:  Thille Boubacar region",2,104.475582472683
"17","ON813219.1",0.00957161449912438,"Orthoflavivirus nilense","Senegal"," Barkedji region","Aedes vexans","2023-03-20T00:00:00Z",16.467784,-14.1861373,5330,0.994034671031677,-110.788583704055,12585.5355450237,"Senegal:  Barkedji region",8,104.475582472683
"18","JX041631.1",0.017403156115502,"Orthoflavivirus nilense","Ukraine"," Lviv region","Aves","2012-07-31T00:00:00Z",49.8397526,24.0436699,54066,0.994034671031677,126.845883824703,29052.5917721519,"Ukraine:  Lviv region",1,57.4608417785348
"19","ON813233.1",0.0111871438389508,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-03-20T00:00:00Z",37.7938015,12.4343692,22270,1.31137943267822,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,89.3883205933453
"20","KY523178.1",0.0108958446163735,"Orthoflavivirus nilense","Uganda"," Queen Elizabeth National Park","Culex neavei","2017-08-31T00:00:00Z",-0.0196719,29.7381821,31698,1.31137943267822,-339.847099356816,14313.6532663317,"Uganda:  Queen Elizabeth National Park",1,91.7781076372241
"21","MW751835.1",0.0066910501003879,"Orthoflavivirus nilense","Serbia"," Subotica","Asio otus","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,1.29204368591309,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,149.453372041263
"22","OK239658.1",0.00667880227071237,"Orthoflavivirus nilense","Hungary"," Hajduszoboszlo","Homo sapiens","2022-09-17T00:00:00Z",47.4431291,21.3902995,210299,1.29204368591309,113.716581012131,32965.4006622517,"Hungary:  Hajduszoboszlo",2,149.727445051811
"23","OK239667.1",0.00662435607826168,"Orthoflavivirus nilense","Hungary"," Kiskunmajsa","Homo sapiens","2022-09-17T00:00:00Z",46.4906228,19.7393121,174408,0.197912693023681,104.229396234112,33909.4713804714,"Hungary:  Kiskunmajsa",1,150.958068706719
"24","OK239666.1",0.00662435607826168,"Orthoflavivirus nilense","Hungary"," Bekescsaba","Homo sapiens","2022-09-17T00:00:00Z",46.6798003,21.0985425,208791,0.197912693023681,107.201602011734,32572.3523489933,"Hungary:  Bekescsaba",1,150.958068706719
"25","ON032492.1",0.00431096186536245,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Pica pica","2023-02-07T00:00:00Z",42.83333,12.83333,111328,0.678226504060957,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,231.966793312361
"26","OP734239.1",0.00431096186536245,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Corvus cornix","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.854362311200326,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,231.966793312361
"27","KF588365.1",0.00423573042247799,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-10-28T00:00:00Z",45.07387,11.79109,37,1.02361381710123,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,236.08679029554
"28","ON032488.1",0.00423573042247799,"Orthoflavivirus nilense","Italy"," Piemonte region","Corvus cornix","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,1.02777491497393,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,236.08679029554
"29","ON032497.1",0.0042809537030878,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Garrulus glandarius","2023-02-07T00:00:00Z",42.83333,12.83333,111328,0.947689320694217,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,233.59280883573
"30","ON032498.1",0.00699117948860288,"Orthoflavivirus nilense","Italy"," Umbria region","Accipiter gentilis","2023-02-07T00:00:00Z",37.5045761,15.0568253,45081,0.947689320694217,31.6847138503502,33303.7301587302,"Italy:  Umbria region",1,143.037380406298
"31","MW751842.1",0.00454330557387318,"Orthoflavivirus nilense","Serbia"," Subotica","Culex pipiens","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,0.998005606677081,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,220.104059421101
"32","OK129330.1",0.00454330557387318,"Orthoflavivirus nilense","Hungary"," Kisujszallas","Homo sapiens","2022-11-01T00:00:00Z",47.2162053,20.7546669,210927,1.00274396015599,110.791543922366,33698.610738255,"Hungary:  Kisujszallas",1,220.104059421101
"33","OK239661.1",0.00559639576255352,"Orthoflavivirus nilense","Hungary"," Oroshaza","Homo sapiens","2022-09-17T00:00:00Z",46.5603339,20.6693477,193549,1.00274396015599,105.413903504842,32943.4511784512,"Hungary:  Oroshaza",1,178.686433631299
"34","MW751843.1",0.00542054012243181,"Orthoflavivirus nilense","Serbia"," Karavukovo","Culex pipiens","2022-07-23T00:00:00Z",45.4976668,19.1960432,168113,0.991587537613732,103.229362670314,31061.0446735395,"Serbia:  Karavukovo",1,184.483460580193
"35","ON032489.1",0.00542054012243181,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,0.981201931640404,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,184.483460580193
"36","OK239670.1",0.00545402503668449,"Orthoflavivirus nilense","Hungary"," Hajduszoboszlo","Homo sapiens","2022-09-17T00:00:00Z",47.4431291,21.3902995,210299,0.89834840631448,113.716581012131,32965.4006622517,"Hungary:  Hajduszoboszlo",2,183.350826824935
"37","OK239672.1",0.00560765617886072,"Orthoflavivirus nilense","Hungary"," Tiszaluc","Homo sapiens","2022-09-17T00:00:00Z",48.0345861,21.0630541,216368,0.857597457451307,123.098240120701,33376.4668874172,"Hungary:  Tiszaluc",1,178.327623538996
"38","MW751838.1",0.00564462473156829,"Orthoflavivirus nilense","Serbia"," Belgrade","Aves","2022-07-23T00:00:00Z",44.8178131,20.4568974,162213,0.849086434863577,92.1697549996695,28531.9545454546,"Serbia:  Belgrade",1,177.15969573803
"39","MK473443.1",0.00551211785071121,"Orthoflavivirus nilense","Greece"," Argolida, Peloponnesus","Pica pica","2020-02-16T00:00:00Z",37.62334,22.41777,178,0.940382832187715,16.5840148925781,22438,"Greece:  Argolida, Peloponnesus",2,181.418472370102
"40","MW751836.1",0.00390423105045038,"Orthoflavivirus nilense","Serbia"," Mali Idjos","Culex pipiens","2022-07-23T00:00:00Z",45.7067012,19.666121,168049,0.903134434516357,99.1370920535605,31624.785467128,"Serbia:  Mali Idjos",1,256.132382299619
"41","MW751840.1",0.00390423105045038,"Orthoflavivirus nilense","Serbia"," Novi Sad","Culex pipiens","2022-07-23T00:00:00Z",45.2551338,19.8451756,169138,0.987958416839056,98.3536699539886,30186.4048442907,"Serbia:  Novi Sad",2,256.132382299619
"42","MH549209.1",0.00554862544194984,"Orthoflavivirus nilense","Greece"," Argolida, Peloponnesus","Pica pica","2019-08-17T00:00:00Z",37.62334,22.41777,178,1.09535231395643,16.5840148925781,22438,"Greece:  Argolida, Peloponnesus",2,180.224816121052
"43","OK239663.1",0.00534088785020104,"Orthoflavivirus nilense","Hungary"," Nyiregyhaza","Homo sapiens","2022-09-17T00:00:00Z",47.9557802,21.7167982,198047,0.832582152279132,124.575715241609,32523.0231023102,"Hungary:  Nyiregyhaza",1,187.234787182876
"44","ON032490.1",0.00383634408182785,"Orthoflavivirus nilense","Italy"," Piemonte region","Accipiter gentilis","2023-02-07T00:00:00Z",37.7938015,12.4343692,22270,0.984617670225312,25.3969429016113,32620.0277777778,"Italy:  Piemonte region",4,260.664835757783
"45","OP734241.1",0.00346975739395234,"Orthoflavivirus nilense","Italy"," Piemonte","Culex pipiens","2023-05-09T00:00:00Z",45.060735,7.923549,175015,1.06454539570147,53.9102220700451,40119.2213438735,"Italy:  Piemonte",2,288.204587946974
"46","OR091158.1",0.00346975739395234,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,1.0526078621064,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,288.204587946974
"47","MW751845.1",0.00559585553362597,"Orthoflavivirus nilense","Serbia"," Opovo","Culex pipiens","2022-07-23T00:00:00Z",45.0487194,20.4331827,164452,1.09504059563058,93.91747847159,29040.6515679442,"Serbia:  Opovo",1,178.703684180357
"48","KF179639.1",0.00566842964383308,"Orthoflavivirus nilense","Greece"," Kavala prefecture","Homo sapiens","2013-10-27T00:00:00Z",40.93959,24.40687,126117,0.896454393210732,7.28980473109624,29636.2307692308,"Greece:  Kavala prefecture",1,176.415702907761
"49","OK129333.1",0.00716686687308915,"Orthoflavivirus nilense","Hungary"," Szentmartonkata","Homo sapiens","2022-11-01T00:00:00Z",47.4440884,19.6916458,180999,0.322155321511722,114.135556750665,35514.3466666667,"Hungary:  Szentmartonkata",1,139.530985814024
"50","ON813230.1",0.00401141725580298,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Corvus cornix","2023-03-20T00:00:00Z",42.83333,12.83333,111328,-0.0410461473825295,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,249.288452492291
"51","OR091155.1",0.00336498777920884,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.557504739728353,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,297.177899479658
"52","OR091152.1",0.00336498777920884,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.557504739728353,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,297.177899479658
"53","OM037673.1",0.00411543874636822,"Orthoflavivirus nilense","Spain"," Tarragona, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.1172364,1.2546057,442,1.20173193653895,28.4501647949219,29797,"Spain:  Tarragona, Catalonia",2,242.987458113057
"54","ON032491.1",0.0040630441078508,"Orthoflavivirus nilense","Italy"," Lombardi region","Corvus cornix","2023-02-07T00:00:00Z",45.8771936,11.0585248,127359,1.20173193653895,68.6773058302858,41452.2730627306,"Italy:  Lombardi region",1,246.1208821405
