Accession,Organism_Name,Release_Date,Species,Length,Geo_Location,Host,Collection_Date
GQ379160.1,West Nile virus,2009-10-14,Orthoflavivirus nilense,11029,Argentina,Equus caballus,2006-02
GQ379161.1,West Nile virus,2009-10-14,Orthoflavivirus nilense,11029,Argentina,Equus caballus,2006-02
MN954648.1,West Nile virus,2020-02-25,Orthoflavivirus nilense,10941,Australia,Crocodylus porosus,2016
KX394381.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10740,Australia,,1975
KX394382.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10761,Australia,Culex annulirostris,2011
KX394383.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10887,Australia,Culex annulirostris,1972
KX394384.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10768,Australia,Culex annulirostris,1974
KX394385.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10835,Australia,Culex annulirostris,1974
KX394386.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10859,Australia,Culex annulirostris,1974
KX394387.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10863,Australia,Culex annulirostris,1974
KX394388.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10886,Australia,Culex annulirostris,1974
KX394389.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10796,Australia,Culex annulirostris,1974
KX394390.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10711,Australia,Culex annulirostris,1974
KX394391.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10865,Australia,Culex annulirostris,1974
KX394392.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10799,Australia,,1963
KX394393.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10766,Australia,,1963
KX394394.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10833,Australia,Culex annulirostris,1978
KX394395.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10801,Australia,Culex annulirostris,1999
KX394396.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10790,Australia,Culex annulirostris,1960
KX394397.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10687,Australia,,1960
KX394398.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10855,Australia,Culex annulirostris,1960
KX394399.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10763,Australia,,1960
KX394400.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10759,Australia,,1960
KX394401.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10761,Australia,,1960
KX394402.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10765,Australia,,1960
KX394403.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10886,Australia,Anopheles bancroftii,1963
KX394404.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10791,Australia,Culex squamosus,1963
KX394405.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10888,Australia,Culex annulirostris,1963
KX394406.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10766,Australia,Culex squamosus,1963
KX394407.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10766,Australia,Anopheles farauti,1963
KX394408.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10766,Australia,Culex pullus,1963
KX394409.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10766,Australia,Culex annulirostris,1963
KX394410.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10762,Australia,Oriolus flavocinctus,1965
KX394411.1,Kunjin virus,2016-11-09,Orthoflavivirus nilense,10667,Australia,,1978
JX123030.1,West Nile virus,2013-01-01,Orthoflavivirus nilense,10983,Australia,Equus caballus,2011-03-07
JX123031.1,West Nile virus,2013-01-01,Orthoflavivirus nilense,10983,Australia,Equus caballus,2011-03-15
JN887352.1,West Nile virus,2012-05-07,Orthoflavivirus nilense,10923,Australia,Equus caballus,2011
GQ851602.1,West Nile virus,2010-09-13,Orthoflavivirus nilense,10981,Australia,Culex annulirostris,1960
GQ851603.1,West Nile virus,2010-09-13,Orthoflavivirus nilense,10983,Australia,Culex annulirostris,1991
KT934798.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Gulf of Carpentaria, Queensland",Culex annulirostris,2000
KT934799.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Gulf of Carpentaria, Queensland",Culex annulirostris,2000
KT934803.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Hallett, South Australia",Equus caballus,2011
KT934801.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Kimberley Region, Western Australia",Culex annulirostris,2011
KT934802.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Kimberley Region, Western Australia",Culex annulirostris,2009
KT934797.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,Australia: New South Wales,Homo sapiens,1991
KT934804.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,Australia: New South Wales,Culex annulirostris,2012
KT934800.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,"Australia: Pilbara Region, Western Australia",Culex annulirostris,2009
KT934796.1,Kunjin virus,2016-01-01,Orthoflavivirus nilense,10302,Australia: Victoria,Equus caballus,1984
MF984344.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,11024,Austria,Accipiter gentilis,2015
MF984345.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,11013,Austria,Falco,2015
MF984349.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,10720,Austria,Equus caballus,2016
MF984350.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,10979,Austria,Equus caballus,2016
MF984351.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,10980,Austria,Culex pipiens,2016
MF984352.1,West Nile virus,2018-04-04,Orthoflavivirus nilense,10800,Austria,Culex pipiens,2016
MF984337.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10990,Austria,Homo sapiens,2015
MF984338.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10836,Austria,Homo sapiens,2015
MF984339.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10831,Austria,Homo sapiens,2015
MF984340.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10831,Austria,Homo sapiens,2015
MF984341.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10658,Austria,Homo sapiens,2015
MF984342.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10831,Austria,Homo sapiens,2015
MF984343.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,11013,Austria,Homo sapiens,2015
MF984346.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10829,Austria,Homo sapiens,2016
MF984347.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10991,Austria,Homo sapiens,2016
MF984348.1,West Nile virus,2018-03-28,Orthoflavivirus nilense,10832,Austria,Homo sapiens,2016
KP780837.1,West Nile virus,2016-03-01,Orthoflavivirus nilense,10963,Austria,Nestor notabilis,2008-08-29
KP780838.1,West Nile virus,2016-03-01,Orthoflavivirus nilense,10963,Austria,Nestor notabilis,2009-09-16
KP780839.1,West Nile virus,2016-03-01,Orthoflavivirus nilense,10963,Austria,Nestor notabilis,2011-03-14
KP780840.1,West Nile virus,2016-03-01,Orthoflavivirus nilense,10963,Austria,Nestor notabilis,2014-08-21
KP109691.1,West Nile virus,2015-05-20,Orthoflavivirus nilense,10988,Austria,Homo sapiens,2014
KP109692.1,West Nile virus,2015-05-20,Orthoflavivirus nilense,10988,Austria,Culex pipiens,2014
KM659876.1,West Nile virus,2014-11-18,Orthoflavivirus nilense,11028,Austria,Homo sapiens,2014
KF179640.1,West Nile virus,2013-10-27,Orthoflavivirus nilense,10998,Austria,Accipiter gentilis,2008
KJ831223.1,West Nile virus,2014-08-03,Orthoflavivirus nilense,10666,Austria: Lake Neusiedl,Uranotaenia unguiculata,2013-08
JX041628.1,West Nile virus,2012-07-31,Orthoflavivirus nilense,10942,Azerbaijan,Alectorobius capensis,1970
JX041629.1,West Nile virus,2012-07-31,Orthoflavivirus nilense,10898,Azerbaijan,Aves,1967
JX041630.1,West Nile virus,2012-07-31,Orthoflavivirus nilense,10810,Azerbaijan,Aves,1967
MH021189.1,West Nile virus,2018-03-24,Orthoflavivirus nilense,11060,Belgium,Homo sapiens,2017-10
KR107956.1,West Nile virus,2015-09-23,Orthoflavivirus nilense,10435,Belgium,,2014
OP422646.1,West Nile virus,2023-05-08,Orthoflavivirus nilense,11050,Brazil,Culex,2017-03
MH643887.1,West Nile virus,2019-01-28,Orthoflavivirus nilense,11019,Brazil,Equus caballus,2018-04-26
ON782107.1,West Nile virus,2023-02-08,Orthoflavivirus nilense,10300,"Brazil: Abaiara, Ceara",Equus caballus,2019-01-10
MT905060.1,West Nile virus,2021-03-23,Orthoflavivirus nilense,10893,"Brazil: Espirito Santo state, Joao Neiva municipality",Equus caballus,2019-06-13
ON782109.1,West Nile virus,2023-02-08,Orthoflavivirus nilense,10300,"Brazil: Ipira, Bahia",Equus caballus,2019-07-22
ON782108.1,West Nile virus,2023-02-08,Orthoflavivirus nilense,10271,"Brazil: Itagiba, Bahia",Equus caballus,2018-04-21
